,gospel_mark,gospel_other,greek_biographies,greek_histeriographies,greek_novels,greek_tragedies,jewish_texts
0,"('ἰωάν ης', 26)","('ἰωάν ης', 104)","('δέ και', 1495)","('δέ και', 1142)","('δέ και', 506)","('ου γαρ', 305)","('αυτου και', 227)"
1,"('ἰησοῦς εἶπον', 16)","('υἱός ἄνθρωπος', 69)","('και την', 880)","('οι δέ', 801)","('και την', 382)","('δʼ ου', 187)","('και ειπεν', 212)"
2,"('υἱός ἄνθρωπος', 15)","('ἰησοῦς εἶπον', 68)","('μεν ουν', 876)","('και οι', 752)","('και το', 292)","('συ δʼ', 152)","('εν τη', 178)"
3,"('βασιλεία θεός', 14)","('ἀποκρίνω ἰησοῦς', 62)","('και των', 844)","('και των', 678)","('εις την', 286)","('γαρ ου', 139)","('και ου', 175)"
4,"('ἀμήν λέγω', 13)","('ἀμήν λέγω', 62)","('και το', 746)","('και τους', 673)","('μεν ουν', 245)","('ου αν', 130)","('αυτων και', 138)"
5,"('πνεῦμα ἀκάθαρτος', 11)","('λέγω ἰησοῦς', 59)","('και τους', 607)","('εν τη', 608)","('προς την', 223)","('και μην', 126)","('αυτης και', 118)"
6,"('ἰησοῦς λέγω', 10)","('πνεῦμα ἅγιος', 51)","('εις την', 588)","('και το', 586)","('και τα', 200)","('και εγω', 120)","('εν τω', 110)"
7,"('ἀποκρίνω λέγω', 8)","('εἶπον ἰησοῦς', 51)","('την πολις', 582)","('και τα', 585)","('το δέ', 191)","('δʼ εν', 120)","('εις την', 100)"
8,"('λέγω μαθητής', 8)","('βασιλεία θεός', 45)","('οι δέ', 560)","('οι μεν', 537)","('εις το', 175)","('δέ και', 117)","('δέ και', 92)"
9,"('ἰάκωβος ἰωάν', 7)","('εἶπον κύριος', 43)","('αλλα και', 524)","('και την', 487)","('και προς', 173)","('νυν δʼ', 107)","('και τα', 82)"
