,document_id,author,work,author_work
0,perseus_tlg0085.tlg005.perseus-grc2,Aeschylus,Agamemnon,Aeschylus - Agamemnon.txt
1,perseus_tlg0085.tlg007.perseus-grc2,Aeschylus,Eumenides,Aeschylus - Eumenides.txt
2,perseus_tlg0085.tlg006.perseus-grc2,Aeschylus,Libation Bearers,Aeschylus - Libation Bearers.txt
3,perseus_tlg0085.tlg002.perseus-grc2,Aeschylus,Persians,Aeschylus - Persians.txt
4,perseus_tlg0085.tlg003.perseus-grc2,Aeschylus,Prometheus Bound,Aeschylus - Prometheus Bound.txt
5,perseus_tlg0085.tlg004.perseus-grc2,Aeschylus,Seven Against Thebes,Aeschylus - Seven Against Thebes.txt
6,perseus_tlg0085.tlg001.perseus-grc2,Aeschylus,Suppliant Maidens,Aeschylus - Suppliant Maidens.txt
7,perseus_tlg0006.tlg007.perseus-grc2,Euripides,Hecuba,Euripides - Hecuba.txt
8,perseus_tlg0006.tlg002.perseus-grc2,Euripides,Alcestis,Euripides - Alcestis.txt
9,perseus_tlg0006.tlg006.perseus-grc2,Euripides,Andromache,Euripides - Andromache.txt
10,perseus_tlg0006.tlg017.perseus-grc2,Euripides,Bacchae,Euripides - Bacchae.txt
11,perseus_tlg0006.tlg001.perseus-grc2,Euripides,Cyclops,Euripides - Cyclops.txt
12,perseus_tlg0006.tlg012.perseus-grc2,Euripides,Elektra,Euripides - Elektra.txt
13,perseus_tlg0006.tlg014.perseus-grc2,Euripides,Helen,Euripides - Helen.txt
14,perseus_tlg0006.tlg004.perseus-grc2,Euripides,Heracleidae,Euripides - Heracleidae.txt
15,perseus_tlg0006.tlg009.perseus-grc2,Euripides,Herakles,Euripides - Herakles.txt
16,perseus_tlg0006.tlg005.perseus-grc2,Euripides,Hippolytus,Euripides - Hippolytus.txt
17,perseus_tlg0006.tlg010.perseus-grc2,Euripides,Ion,Euripides - Ion.txt
18,perseus_tlg0006.tlg018.perseus-grc2,Euripides,Iphigenia in Aulis,Euripides - Iphigenia in Aulis.txt
19,perseus_tlg0006.tlg013.perseus-grc2,Euripides,Iphigenia in Tauris,Euripides - Iphigenia in Tauris.txt
20,perseus_tlg0006.tlg003.perseus-grc2,Euripides,Medea,Euripides - Medea.txt
21,perseus_tlg0006.tlg016.perseus-grc2,Euripides,Orestes,Euripides - Orestes.txt
22,perseus_tlg0006.tlg019.perseus-grc2,Euripides,Rhesus,Euripides - Rhesus.txt
23,perseus_tlg0006.tlg015.perseus-grc2,Euripides,The Phoenician Women,Euripides - The Phoenician Women.txt
24,perseus_tlg0006.tlg008.perseus-grc2,Euripides,The Suppliants,Euripides - The Suppliants.txt
25,perseus_tlg0006.tlg011.perseus-grc2,Euripides,The Trojan Women,Euripides - The Trojan Women.txt
26,perseus_tlg0011.tlg003.perseus-grc2,Sophocles,Ajax,Sophocles - Ajax.txt
27,perseus_tlg0011.tlg002.perseus-grc2,Sophocles,Antigone,Sophocles - Antigone.txt
28,perseus_tlg0011.tlg005.perseus-grc2,Sophocles,Electra,Sophocles - Electra.txt
29,perseus_tlg0011.tlg008.perseus-grc2,Sophocles,Ichneutae,Sophocles - Ichneutae.txt
30,perseus_tlg0011.tlg007.perseus-grc2,Sophocles,Oedipus at Colonus,Sophocles - Oedipus at Colonus.txt
31,perseus_tlg0011.tlg004.perseus-grc2,Sophocles,Oedipus King - Oedipus Tyrannus,Sophocles - Oedipus King - Oedipus Tyran.txt
32,perseus_tlg0011.tlg006.perseus-grc2,Sophocles,Philoctetes,Sophocles - Philoctetes.txt
33,perseus_tlg0011.tlg001.perseus-grc2,Sophocles,Trachiniae,Sophocles - Trachiniae.txt
